0.0000000000, 10.0000000000, 624.1786888108
0.0010000000, 10.0003418926, 624.1787117095
0.0015000000, 10.0005119277, 624.1787126928
0.0017500000, 10.0005970567, 624.1787123979
0.0022500000, 10.0007679071, 624.1787084212
0.0025000000, 10.0008538106, 624.1787069658
0.0030000000, 10.0010268136, 624.1786987840
0.0032500000, 10.0011141043, 624.1786963542
0.0037500000, 10.0012903874, 624.1786847007
0.0040000000, 10.0013795748, 624.1786814784
0.0045000000, 10.0015600606, 624.1786670740
0.0047500000, 10.0016515525, 624.1786632387
0.0052500000, 10.0018369614, 624.1786468006
0.0055000000, 10.0019310649, 624.1786425318
0.0060000000, 10.0021219154, 624.1786247824
0.0062500000, 10.0022188361, 624.1786202620
0.0067500000, 10.0024154426, 624.1786019389
0.0070000000, 10.0025152828, 624.1785973536
0.0075000000, 10.0027177500, 624.1785792198
0.0077500000, 10.0028205053, 624.1785747638
0.0082500000, 10.0030287205, 624.1785576194
0.0085000000, 10.0031342750, 624.1785534974
0.0090000000, 10.0033478967, 624.1785381912
0.0092500000, 10.0034560164, 624.1785346216
0.0097500000, 10.0036744591, 624.1785220653
0.0100000000, 10.0037847833, 624.1785192835
0.0105000000, 10.0040071990, 624.1785104666
0.0107500000, 10.0041192301, 624.1785087294
0.0112500000, 10.0043444850, 624.1785047359
0.0115000000, 10.0044575750, 624.1785043255
0.0120000000, 10.0046842213, 624.1785063535
0.0122500000, 10.0047975572, 624.1785075828
0.0127500000, 10.0050237996, 624.1785169656
0.0130000000, 10.0051363842, 624.1785201838
0.0135000000, 10.0053600396, 624.1785384147
0.0137500000, 10.0054706701, 624.1785440138
0.0142500000, 10.0056891210, 624.1785727745
0.0145000000, 10.0057963632, 624.1785811968
0.0150000000, 10.0060065019, 624.1786223891
0.0152500000, 10.0061086601, 624.1786341356
0.0157500000, 10.0063068245, 624.1786899189
0.0160000000, 10.0064019065, 624.1787055592
0.0165000000, 10.0065838042, 624.1787783926
0.0167500000, 10.0066694808, 624.1787985763
0.0172500000, 10.0068301018, 624.1788912678
0.0175000000, 10.0069036589, 624.1789167373
0.0180000000, 10.0070371736, 624.1790325004
0.0182500000, 10.0070954571, 624.1790641058
0.0187500000, 10.0071950983, 624.1792066244
0.0190000000, 10.0072344507, 624.1792453411
0.0195000000, 10.0072923772, 624.1794188447
0.0197500000, 10.0073085635, 624.1794657930
0.0202500000, 10.0073157012, 624.1796751431
0.0205000000, 10.0073038238, 624.1797316113
0.0207000000, 10.0072865909, 624.1797696435
0.0211000000, 10.0072317586, 624.1799349477
0.0213000000, 10.0071921411, 624.1799787625
0.0217000000, 10.0070894272, 624.1801688092
0.0219000000, 10.0070240311, 624.1802191138
0.0223000000, 10.0068662702, 624.1804369244
0.0225000000, 10.0067712900, 624.1804945107
0.0227000000, 10.0066655248, 624.1805547162
0.0229000000, 10.0065484828, 624.1806176431
0.0231000000, 10.0064196532, 624.1806833976
0.0233000000, 10.0062785055, 624.1807520900
0.0235000000, 10.0061244887, 624.1808238347
0.0237000000, 10.0059570305, 624.1808987506
0.0239000000, 10.0057755368, 624.1809769611
0.0241000000, 10.0055793905, 624.1810585943
0.0243000000, 10.0053679509, 624.1811437834
0.0245000000, 10.0051405526, 624.1812326665
0.0247000000, 10.0048965049, 624.1813253870
0.0249000000, 10.0046350906, 624.1814220937
0.0251000000, 10.0043555650, 624.1815229414
0.0253000000, 10.0040571554, 624.1816280904
0.0255000000, 10.0037390592, 624.1817377071
0.0257000000, 10.0034004436, 624.1818519646
0.0259000000, 10.0030404442, 624.1819710419
0.0261000000, 10.0026581639, 624.1820951253
0.0263000000, 10.0022526716, 624.1822244077
0.0265000000, 10.0018230011, 624.1823590893
0.0267000000, 10.0013681500, 624.1824993780
0.0269000000, 10.0008870783, 624.1826454890
0.0271000000, 10.0003787069, 624.1827976457
0.0273000000, 9.9998419166, 624.1829560797
0.0275000000, 9.9992755466, 624.1831210309
0.0277000000, 9.9986783929, 624.1832927480
0.0279000000, 9.9980492072, 624.1834714888
0.0281000000, 9.9973866950, 624.1836575202
0.0283000000, 9.9966895147, 624.1838511187
0.0285000000, 9.9959562753, 624.1840525706
0.0287000000, 9.9951855353, 624.1842621723
0.0289000000, 9.9943758013, 624.1844802303
0.0291000000, 9.9935255258, 624.1847070620
0.0293000000, 9.9926331059, 624.1849429954
0.0295000000, 9.9916968818, 624.1851883698
0.0297000000, 9.9907151347, 624.1854435359
0.0299000000, 9.9896860855, 624.1857088557
0.0301000000, 9.9886078928, 624.1859847033
0.0303000000, 9.9874786514, 624.1862714648
0.0305000000, 9.9862963906, 624.1865695386
0.0307000000, 9.9850590724, 624.1868793354
0.0309000000, 9.9837645900, 624.1872012787
0.0311000000, 9.9824107658, 624.1875358046
0.0313000000, 9.9809953502, 624.1878833623
0.0315000000, 9.9795160200, 624.1882444136
0.0317000000, 9.9779703764, 624.1886194338
0.0319000000, 9.9763559443, 624.1890089108
0.0321000000, 9.9746701703, 624.1894133457
0.0323000000, 9.9729104217, 624.1898332526
0.0325000000, 9.9710739852, 624.1902691584
0.0327000000, 9.9691580661, 624.1907216025
0.0329000000, 9.9671597871, 624.1911911367
0.0331000000, 9.9650761879, 624.1916783249
0.0333000000, 9.9629042244, 624.1921837427
0.0335000000, 9.9606407681, 624.1927079766
0.0337000000, 9.9582826069, 624.1932516241
0.0339000000, 9.9558264443, 624.1938152921
0.0341000000, 9.9532689004, 624.1943995968
0.0343000000, 9.9506065124, 624.1950051627
0.0345000000, 9.9478357362, 624.1956326211
