0.0000000000, 10.0000000000, 623.8735536577, 0.0000000000, 10.1078390406
0.0010000000, 10.0000361047, 623.8818116084, 0.0037667255, 10.1081007997
0.0015000000, 10.0000352457, 623.8855888398, 0.0056501133, 10.1082326731
0.0017500000, 10.0000303868, 623.8873898162, 0.0065918128, 10.1082988577
0.0022500000, 10.0000130737, 623.8908733656, 0.0084752220, 10.1084317221
0.0025000000, 10.0000003054, 623.8925269976, 0.0094169315, 10.1084984015
0.0030000000, 9.9999676933, 623.8957109997, 0.0113003592, 10.1086322543
0.0032500000, 9.9999475423, 623.8972142172, 0.0122420772, 10.1086994273
0.0037500000, 9.9999005978, 623.9000929311, 0.0141255204, 10.1088342658
0.0040000000, 9.9998735011, 623.9014427485, 0.0150672454, 10.1089019311
0.0045000000, 9.9998130196, 623.9040105440, 0.0169507014, 10.1090377528
0.0047500000, 9.9997793330, 623.9052040501, 0.0178924321, 10.1091059089
0.0052500000, 9.9997059554, 623.9074554687, 0.0197758981, 10.1092427111
0.0055000000, 9.9996659613, 623.9084898498, 0.0207176330, 10.1093113569
0.0060000000, 9.9995801883, 623.9104196008, 0.0226011062, 10.1094491369
0.0062500000, 9.9995341030, 623.9112921519, 0.0235428440, 10.1095182709
0.0067500000, 9.9994363093, 623.9128951677, 0.0254263216, 10.1096570259
0.0070000000, 9.9993842894, 623.9136033112, 0.0263680610, 10.1097266467
0.0075000000, 9.9992747355, 623.9148747145, 0.0282515402, 10.1098663740
0.0077500000, 9.9992168833, 623.9154159768, 0.0291932797, 10.1099364803
0.0082500000, 9.9990957276, 623.9163511438, 0.0310767578, 10.1100771770
0.0085000000, 9.9990320974, 623.9167231974, 0.0320184960, 10.1101477672
0.0090000000, 9.9988994063, 623.9173177712, 0.0339019701, 10.1102894304
0.0092500000, 9.9988300092, 623.9175184330, 0.0348437056, 10.1103605031
0.0097500000, 9.9986857675, 623.9177683396, 0.0367271728, 10.1105031299
0.0100000000, 9.9986105757, 623.9177955832, 0.0376689042, 10.1105746837
0.0105000000, 9.9984546953, 623.9176970649, 0.0395523614, 10.1107182711
0.0107500000, 9.9983736472, 623.9175490262, 0.0404940871, 10.1107903044
0.0112500000, 9.9982059750, 623.9170986222, 0.0423775314, 10.1109348493
0.0115000000, 9.9981189788, 623.9167736107, 0.0433192498, 10.1110073607
0.0120000000, 9.9979393055, 623.9159682236, 0.0452026780, 10.1111528601
0.0122500000, 9.9978462428, 623.9154647151, 0.0461443876, 10.1112258479
0.0127500000, 9.9976543095, 623.9143015741, 0.0480277964, 10.1113722986
0.0130000000, 9.9975550391, 623.9136182419, 0.0489694954, 10.1114457613
0.0135000000, 9.9973505448, 623.9120949682, 0.0508528815, 10.1115931601
0.0137500000, 9.9972449063, 623.9112306841, 0.0517945682, 10.1116670961
0.0142500000, 9.9970275144, 623.9093452887, 0.0536779280, 10.1118154398
0.0145000000, 9.9969153312, 623.9082991227, 0.0546196007, 10.1118898474
0.0147000000, 9.9968239533, 623.9074163860, 0.0553729352, 10.1119494864
0.0151000000, 9.9966371425, 623.9055505085, 0.0568795940, 10.1120690651
0.0153000000, 9.9965414288, 623.9045507804, 0.0576329181, 10.1121290046
0.0157000000, 9.9963458513, 623.9024510951, 0.0591395550, 10.1122491835
0.0159000000, 9.9962456990, 623.9013341268, 0.0598928676, 10.1123094228
0.0163000000, 9.9960411462, 623.8990002480, 0.0613994807, 10.1124302003
0.0165000000, 9.9959364494, 623.8977658843, 0.0621527809, 10.1124907383
0.0167000000, 9.9958302139, 623.8964923715, 0.0629060767, 10.1125513758
0.0169000000, 9.9957224277, 623.8951797064, 0.0636593680, 10.1126121126
0.0171000000, 9.9956130788, 623.8938278896, 0.0644126547, 10.1126729486
0.0173000000, 9.9955021549, 623.8924369246, 0.0651659367, 10.1127338837
0.0175000000, 9.9953896440, 623.8910068185, 0.0659192137, 10.1127949179
0.0177000000, 9.9952755338, 623.8895375824, 0.0666724858, 10.1128560509
0.0179000000, 9.9951598123, 623.8880292307, 0.0674257528, 10.1129172828
0.0181000000, 9.9950424672, 623.8864817826, 0.0681790145, 10.1129786134
0.0183000000, 9.9949234865, 623.8848952591, 0.0689322709, 10.1130400426
0.0185000000, 9.9948028580, 623.8832696853, 0.0696855217, 10.1131015703
0.0187000000, 9.9946805696, 623.8816050905, 0.0704387669, 10.1131631964
0.0189000000, 9.9945566095, 623.8799015103, 0.0711920064, 10.1132249208
0.0191000000, 9.9944309656, 623.8781589782, 0.0719452400, 10.1132867434
0.0193000000, 9.9943036260, 623.8763775351, 0.0726984675, 10.1133486641
0.0195000000, 9.9941745789, 623.8745572242, 0.0734516889, 10.1134106829
0.0197000000, 9.9940438126, 623.8726980933, 0.0742049040, 10.1134727995
0.0199000000, 9.9939113156, 623.8708001937, 0.0749581126, 10.1135350139
0.0201000000, 9.9937770764, 623.8688635804, 0.0757113147, 10.1135973260
0.0203000000, 9.9936410835, 623.8668883125, 0.0764645101, 10.1136597357
0.0205000000, 9.9935033257, 623.8648744526, 0.0772176986, 10.1137222429
0.0207000000, 9.9933637920, 623.8628220671, 0.0779708801, 10.1137848475
0.0209000000, 9.9932224714, 623.8607312263, 0.0787240545, 10.1138475493
0.0211000000, 9.9930793532, 623.8586020041, 0.0794772216, 10.1139103483
0.0213000000, 9.9929344266, 623.8564344785, 0.0802303812, 10.1139732443
0.0215000000, 9.9927876815, 623.8542287322, 0.0809835332, 10.1140362373
0.0217000000, 9.9926391075, 623.8519848523, 0.0817366776, 10.1140993272
